127.0.0.1 - - [24/Sep/2015:01:24:01 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:52:45 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:55:02 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/ HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:51 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/ HTTP/1.1" 200 8832
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:56:57 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/ HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:04 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/ HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:21 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/ HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/content.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/css/bootstrap.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/js/bootstrap.min.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/css/bootstrap-theme.min.css HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/js/ie-emulation-modes-warning.js HTTP/1.1" 404 974
0:0:0:0:0:0:0:1%0 - - [24/Sep/2015:17:57:41 +0800] "GET /mavenweb/js/docs.min.js HTTP/1.1" 404 974
